identity,label_index,support,precision,recall,f1-score,underrepresented,not_predicted
SalamanderID2025_58,550,2.0,1.0,0.5,0.6666666666666666,True,False
SalamanderID2025_582,553,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_62,591,2.0,0.0,0.0,0.0,True,True
SalamanderID2025_627,598,0.0,0.0,0.0,0.0,True,True
SalamanderID2025_63,601,1.0,0.5,1.0,0.6666666666666666,True,False
SalamanderID2025_66,628,0.0,0.0,0.0,0.0,True,True
SalamanderID2025_67,633,1.0,1.0,1.0,1.0,True,False
SalamanderID2025_68,634,2.0,1.0,0.5,0.6666666666666666,True,False
SalamanderID2025_70,637,1.0,0.5,1.0,0.6666666666666666,True,False
SalamanderID2025_71,638,2.0,0.5,0.5,0.5,True,False
SalamanderID2025_73,639,2.0,0.16666666666666666,0.5,0.25,True,False
SalamanderID2025_74,640,1.0,1.0,1.0,1.0,True,False
SalamanderID2025_75,641,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_76,642,1.0,1.0,1.0,1.0,True,False
SalamanderID2025_79,643,1.0,1.0,1.0,1.0,True,False
SalamanderID2025_80,645,1.0,0.5,1.0,0.6666666666666666,True,False
SalamanderID2025_81,646,1.0,0.5,1.0,0.6666666666666666,True,False
SalamanderID2025_83,647,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_85,649,1.0,1.0,1.0,1.0,True,False
SalamanderID2025_86,650,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_88,652,1.0,1.0,1.0,1.0,True,False
SalamanderID2025_89,653,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_90,654,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_91,655,0.0,0.0,0.0,0.0,True,True
SalamanderID2025_93,657,2.0,0.6666666666666666,1.0,0.8,True,False
SalamanderID2025_96,660,1.0,1.0,1.0,1.0,True,False
SalamanderID2025_98,662,0.0,0.0,0.0,0.0,True,True
SalamanderID2025_99,663,2.0,1.0,0.5,0.6666666666666666,True,False
SeaTurtleID2022_t001,664,4.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t002,665,3.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t003,666,6.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,False,False
SeaTurtleID2022_t004,667,11.0,1.0,1.0,1.0,False,False
SeaTurtleID2022_t006,668,1.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t007,669,10.0,1.0,1.0,1.0,False,False
SeaTurtleID2022_t008,670,7.0,1.0,1.0,1.0,False,False
SeaTurtleID2022_t009,671,4.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t011,672,1.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t013,673,4.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t014,674,9.0,0.8181818181818182,1.0,0.9,False,False
SeaTurtleID2022_t015,675,7.0,1.0,1.0,1.0,False,False
SeaTurtleID2022_t016,676,1.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t017,677,3.0,1.0,0.6666666666666666,0.8,True,False
SeaTurtleID2022_t018,678,5.0,1.0,1.0,1.0,False,False
SeaTurtleID2022_t019,679,1.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t020,680,7.0,1.0,1.0,1.0,False,False
SeaTurtleID2022_t021,681,4.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t022,682,7.0,0.875,1.0,0.9333333333333333,False,False
SeaTurtleID2022_t023,683,12.0,1.0,1.0,1.0,False,False
SeaTurtleID2022_t024,684,1.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t025,685,9.0,1.0,1.0,1.0,False,False
SeaTurtleID2022_t026,686,2.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t027,687,2.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t028,688,13.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,False,False
SeaTurtleID2022_t029,689,4.0,0.8,1.0,0.8888888888888888,True,False
SeaTurtleID2022_t031,690,1.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t032,691,3.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t033,692,15.0,0.9375,1.0,0.967741935483871,False,False
SeaTurtleID2022_t034,693,5.0,1.0,1.0,1.0,False,False
SeaTurtleID2022_t035,694,6.0,1.0,1.0,1.0,False,False
SeaTurtleID2022_t036,695,1.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t037,696,7.0,1.0,0.8571428571428571,0.9230769230769231,False,False
SeaTurtleID2022_t038,697,9.0,1.0,0.8888888888888888,0.9411764705882353,False,False
SeaTurtleID2022_t040,698,8.0,1.0,0.875,0.9333333333333333,False,False
SeaTurtleID2022_t042,700,2.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t043,701,6.0,1.0,1.0,1.0,False,False
SeaTurtleID2022_t044,702,1.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t045,703,1.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t046,704,1.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t048,705,24.0,1.0,0.9583333333333334,0.9787234042553191,False,False
SeaTurtleID2022_t049,706,2.0,1.0,0.5,0.6666666666666666,True,False
SeaTurtleID2022_t050,707,2.0,0.6666666666666666,1.0,0.8,True,False
SeaTurtleID2022_t051,708,1.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t052,709,6.0,1.0,1.0,1.0,False,False
SeaTurtleID2022_t053,710,1.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t055,711,1.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t056,712,2.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t057,713,1.0,0.0,0.0,0.0,True,True
SeaTurtleID2022_t058,714,2.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t059,715,1.0,0.0,0.0,0.0,True,True
SeaTurtleID2022_t060,716,1.0,0.0,0.0,0.0,True,True
SeaTurtleID2022_t061,717,1.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t062,718,7.0,1.0,0.8571428571428571,0.9230769230769231,False,False
SeaTurtleID2022_t063,719,12.0,1.0,1.0,1.0,False,False
SeaTurtleID2022_t064,720,5.0,1.0,0.8,0.8888888888888888,False,False
SeaTurtleID2022_t065,721,4.0,1.0,1.0,1.0,True,False
SeaTurtleID2022_t066,722,1.0,0.5,1.0,0.6666666666666666,True,False
SeaTurtleID2022_t067,723,11.0,0.9,0.8181818181818182,0.8571428571428571,False,False
